;Scopy version,v1.2.0,,,
;Exported on,Wednesday February 24/02/2021,,,
;Device,M2K,,,
;Nr of samples,1.00E+03,,,
;Sample rate,0.00E+00,,,
;Tool,Network Analyzer,,,
;Additional Information,Reference channel: 1,,,
Sample,Frequency(Hz),Magnitude(dB),Phase(°),Amplitude
200,3.99E+02,-1.03427,-27.0755,8.88E-01
201,4.01E+02,-1.17814,-26.8598,8.73E-01
202,4.04E+02,-1.01026,-27.2177,8.90E-01
203,4.07E+02,-1.10802,-27.3363,8.80E-01
204,4.10E+02,-0.991202,-27.7756,8.92E-01
205,4.13E+02,-1.13973,-28.2684,8.77E-01
206,4.16E+02,-1.13309,-28.0983,8.78E-01
207,4.18E+02,-1.17383,-28.9507,8.74E-01
208,4.21E+02,-1.24109,-28.3859,8.67E-01
209,4.24E+02,-1.19764,-28.5217,8.71E-01
210,4.27E+02,-1.1383,-27.8406,8.77E-01
211,4.30E+02,-1.18639,-28.1899,8.72E-01
212,4.33E+02,-1.18249,-28.9566,8.73E-01
213,4.36E+02,-1.24129,-28.1871,8.67E-01
214,4.39E+02,-1.17042,-28.8788,8.74E-01
215,4.42E+02,-1.2977,-29.5487,8.61E-01
216,4.45E+02,-1.12657,-29.8404,8.78E-01
217,4.48E+02,-1.30566,-30.5118,8.60E-01
218,4.51E+02,-1.25303,-30.089,8.66E-01
219,4.55E+02,-1.36761,-31.1435,8.54E-01
220,4.58E+02,-1.43372,-29.7207,8.48E-01
221,4.61E+02,-1.4316,-30.4037,8.48E-01
222,4.64E+02,-1.35031,-30.6409,8.56E-01
223,4.67E+02,-1.30036,-31.6282,8.61E-01
224,4.71E+02,-1.49377,-30.7688,8.42E-01
225,4.74E+02,-1.44979,-31.2553,8.46E-01
226,4.77E+02,-1.37769,-32.3347,8.53E-01
227,4.80E+02,-1.56706,-31.5223,8.35E-01
228,4.84E+02,-1.44973,-31.1912,8.46E-01
229,4.87E+02,-1.48742,-31.7349,8.43E-01
230,4.91E+02,-1.52214,-31.0058,8.39E-01
231,4.94E+02,-1.56743,-31.5699,8.35E-01
232,4.97E+02,-1.55283,-32.0285,8.36E-01
233,5.01E+02,-1.62057,-32.672,8.30E-01
234,5.04E+02,-1.59412,-33.2976,8.32E-01
235,5.08E+02,-1.58642,-33.4008,8.33E-01
236,5.11E+02,-1.61349,-33.2273,8.30E-01
237,5.15E+02,-1.68505,-32.9205,8.24E-01
238,5.18E+02,-1.73523,-33.5152,8.19E-01
239,5.22E+02,-1.65165,-33.1042,8.27E-01
240,5.26E+02,-1.66714,-33.6973,8.25E-01
241,5.29E+02,-1.75372,-33.5212,8.17E-01
242,5.33E+02,-1.7424,-33.4931,8.18E-01
243,5.37E+02,-1.66523,-34.2912,8.26E-01
244,5.40E+02,-1.75465,-34.4995,8.17E-01
245,5.44E+02,-1.80556,-34.1348,8.12E-01
246,5.48E+02,-1.74399,-35.4258,8.18E-01
247,5.52E+02,-1.87195,-35.1273,8.06E-01
248,5.56E+02,-1.80212,-35.1231,8.13E-01
249,5.59E+02,-1.83341,-35.9604,8.10E-01
250,5.63E+02,-1.77159,-35.3803,8.15E-01
251,5.67E+02,-1.91247,-36.1926,8.02E-01
252,5.71E+02,-1.90916,-35.9797,8.03E-01
253,5.75E+02,-1.99051,-35.7399,7.95E-01
254,5.79E+02,-1.9889,-36.9711,7.95E-01
255,5.83E+02,-1.89389,-36.4683,8.04E-01
256,5.87E+02,-1.99852,-36.7948,7.94E-01
257,5.91E+02,-2.04181,-36.4216,7.91E-01
258,5.95E+02,-2.05532,-37.7609,7.89E-01
259,5.99E+02,-2.06279,-37.8867,7.89E-01
260,6.04E+02,-2.05079,-37.3096,7.90E-01
261,6.08E+02,-2.09037,-37.8577,7.86E-01
262,6.12E+02,-2.04543,-38.1616,7.90E-01
263,6.16E+02,-2.25537,-38.1893,7.71E-01
264,6.21E+02,-2.13979,-37.7675,7.82E-01
265,6.25E+02,-2.20135,-38.3587,7.76E-01
266,6.29E+02,-2.28822,-38.4569,7.68E-01
267,6.34E+02,-2.35436,-38.8653,7.63E-01
268,6.38E+02,-2.36132,-39.1507,7.62E-01
269,6.42E+02,-2.32671,-39.2926,7.65E-01
270,6.47E+02,-2.33084,-39.3771,7.65E-01
271,6.51E+02,-2.42159,-39.3484,7.57E-01
272,6.56E+02,-2.2466,-39.6053,7.72E-01
273,6.60E+02,-2.39423,-39.2396,7.59E-01
274,6.65E+02,-2.43937,-40.0869,7.55E-01
275,6.70E+02,-2.42298,-40.1429,7.57E-01
276,6.74E+02,-2.37105,-40.4276,7.61E-01
277,6.79E+02,-2.60367,-40.4977,7.41E-01
278,6.84E+02,-2.42168,-40.7361,7.57E-01
279,6.88E+02,-2.52091,-40.9444,7.48E-01
280,6.93E+02,-2.57444,-41.0946,7.43E-01
281,6.98E+02,-2.53475,-41.8658,7.47E-01
282,7.03E+02,-2.62494,-40.808,7.39E-01
283,7.08E+02,-2.54539,-41.9035,7.46E-01
284,7.13E+02,-2.69656,-42.0461,7.33E-01
285,7.18E+02,-2.70124,-42.187,7.33E-01
286,7.23E+02,-2.65641,-42.1119,7.37E-01
287,7.28E+02,-2.84818,-42.9771,7.20E-01
288,7.33E+02,-2.73934,-43.4445,7.30E-01
289,7.38E+02,-2.77365,-42.6787,7.27E-01
290,7.43E+02,-2.84323,-43.3883,7.21E-01
291,7.48E+02,-2.81668,-43.3043,7.23E-01
292,7.53E+02,-2.80674,-43.9706,7.24E-01
293,7.58E+02,-2.91788,-42.8723,7.15E-01
294,7.64E+02,-2.86601,-43.7236,7.19E-01
295,7.69E+02,-2.97688,-44.1667,7.10E-01
296,7.74E+02,-2.98719,-44.2905,7.09E-01
297,7.80E+02,-2.97868,-44.833,7.10E-01
298,7.85E+02,-3.03848,-45.4801,7.05E-01
299,7.90E+02,-3.12278,-44.1148,6.98E-01
300,7.96E+02,-3.06206,-45.2487,7.03E-01
301,8.02E+02,-3.10386,-45.6793,7.00E-01
302,8.07E+02,-3.18049,-45.4556,6.93E-01
303,8.13E+02,-3.25007,-45.1707,6.88E-01
304,8.18E+02,-3.12276,-46.2128,6.98E-01
305,8.24E+02,-3.26612,-46.8212,6.87E-01
306,8.30E+02,-3.35211,-46.3631,6.80E-01
307,8.35E+02,-3.37126,-47.0616,6.78E-01
308,8.41E+02,-3.35587,-46.5362,6.80E-01
309,8.47E+02,-3.46873,-46.7206,6.71E-01
